Codigo_municipio;Municipios;Temp_min_invierno;Prec_max_invierno;Calidad_vida_media;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios
46093;Catadau;0.8;76.6;0.6478656086770518;3005.0;12991.0;118.0;7.0;16.0;31.0;3.0;26.0;34.0;7.0;22.0;8.0;75.0
46094;Catarroja;0.8;76.6;0.6093403050018307;30604.0;13260.0;2026.0;63.0;250.0;421.0;64.0;459.0;769.0;26.0;296.0;126.0;1446.0
46095;Caudete;0.8;76.6;0.6331381956837095;725.0;11940.0;34.0;3.0;8.0;7.0;3.0;7.0;8.0;3.0;6.0;0.0;24.0
46096;Cerdà;0.8;76.6;0.5799472232855845;370.0;12030.0;24.0;0.0;8.0;3.0;0.0;5.0;7.0;0.0;3.0;3.0;16.0
46097;Cofrentes;0.8;76.6;0.8336792716300808;1113.0;16606.0;24.0;0.0;3.0;6.0;3.0;3.0;11.0;0.0;3.0;3.0;21.0
46098;Corbera;0.8;76.6;0.6537668482912136;3266.0;12691.0;148.0;8.0;14.0;33.0;10.0;35.0;48.0;3.0;25.0;3.0;106.0
46099;Cortes;0.8;76.6;0.7508783659009375;727.0;15837.0;28.0;3.0;3.0;8.0;3.0;3.0;11.0;3.0;3.0;3.0;22.0
46100;Cotes;0.8;76.6;0.824427725095182;314.0;14044.0;7.0;0.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;7.0
46101;Quart;0.8;76.6;0.7299937577295736;1029.0;13654.0;40.0;3.0;5.0;5.0;0.0;15.0;14.0;0.0;3.0;3.0;34.0
46102;Quart;0.8;76.6;0.619954191299838;26967.0;13132.0;1790.0;64.0;223.0;362.0;52.0;368.0;721.0;9.0;220.0;117.0;1349.0
46103;Quartell;0.8;76.6;0.7466998795016545;1810.0;15024.0;50.0;3.0;3.0;6.0;0.0;15.0;22.0;0.0;3.0;7.0;37.0
46104;Quatretonda;0.8;76.6;0.711451899645682;2174.0;13703.0;81.0;3.0;13.0;11.0;3.0;25.0;29.0;3.0;9.0;3.0;63.0
