Codigo_municipio;Municipios;Poblacion_total;Renta_media;Total_paro_registrado;Paro_hombre_menor_25;Paro_hombre_25_45;Paro_hombre_45+;Paro_mujer_menor_25;Paro_mujer_25_45;Paro_mujer_45+;Paro_agricultura;Paro_industria;Paro_construccion;Paro_servicios;Demanda_score;Demanda_comedor
46210;Ráfol;463.0;12077.0;22.0;3.0;3.0;3.0;0.0;6.0;10.0;0.0;6.0;3.0;13.0;0.13535037066344457;2
46211;Real;2722.0;13193.0;118.0;3.0;18.0;30.0;3.0;24.0;40.0;3.0;12.0;8.0;95.0;0.12172307933586612;2
46212;Real;2497.0;12246.0;134.0;3.0;14.0;30.0;0.0;37.0;51.0;10.0;30.0;9.0;83.0;0.1347167969129132;2
46213;Requena;20982.0;12868.0;1049.0;35.0;130.0;164.0;45.0;230.0;445.0;125.0;157.0;53.0;659.0;0.14057250436020882;2
46214;Riba-roja;24616.0;15000.0;1289.0;38.0;157.0;279.0;45.0;265.0;505.0;20.0;155.0;96.0;970.0;0.11477573606464062;2
46215;Riola;1820.0;12625.0;91.0;5.0;6.0;21.0;3.0;21.0;35.0;3.0;16.0;7.0;57.0;0.12893257956853055;2
46216;Rocafort;7751.0;21958.0;272.0;9.0;39.0;64.0;7.0;45.0;108.0;0.0;22.0;14.0;235.0;0.005071864132696592;2
46217;Rotglà;1171.0;12994.0;66.0;5.0;15.0;7.0;3.0;12.0;24.0;0.0;8.0;5.0;48.0;0.12344759724560449;2
46218;Ròtova;1283.0;14544.0;44.0;5.0;6.0;11.0;3.0;8.0;12.0;0.0;12.0;3.0;29.0;0.1021242319827411;2
46219;Rugat;165.0;14459.0;3.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.10253899594439651;2
46220;Sagunt/Sagunto;73031.0;13986.0;4431.0;185.0;605.0;917.0;173.0;1088.0;1463.0;93.0;443.0;308.0;3116.0;0.17254490532431746;2
46221;Salem;407.0;12952.0;16.0;3.0;3.0;3.0;0.0;3.0;9.0;0.0;5.0;0.0;11.0;0.12332487549974752;2
46222;Sant;527.0;13316.0;17.0;0.0;6.0;6.0;0.0;3.0;3.0;3.0;3.0;3.0;11.0;0.11840304063816913;2
46223;Sedaví;10837.0;13431.0;750.0;25.0;93.0;171.0;21.0;124.0;316.0;8.0;110.0;41.0;549.0;0.12672555827345214;2
46224;Segart;180.0;16825.0;15.0;0.0;3.0;5.0;0.0;3.0;3.0;0.0;3.0;3.0;13.0;0.0703207462994451;2
46225;Sellent;383.0;12984.0;29.0;3.0;3.0;8.0;3.0;7.0;10.0;0.0;3.0;3.0;25.0;0.12298933939596543;2
46226;Sempere;33.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;3.0;0.0;3.0;0.3000372112752181;3
46227;Senyera;1114.0;12941.0;40.0;3.0;10.0;7.0;3.0;11.0;9.0;0.0;6.0;3.0;28.0;0.12393091786562996;2
46228;Serra;3767.0;15306.0;208.0;5.0;25.0;60.0;3.0;46.0;70.0;6.0;25.0;16.0;160.0;0.09399029251585685;2
46229;Siete;1289.0;14224.0;62.0;0.0;6.0;16.0;3.0;14.0;22.0;0.0;11.0;3.0;46.0;0.10665097567403847;2
46230;Silla;20482.0;13143.0;1383.0;65.0;184.0;296.0;37.0;307.0;494.0;26.0;209.0;67.0;956.0;0.13946887680434444;2
46231;Simat;3311.0;12938.0;126.0;3.0;17.0;26.0;7.0;31.0;43.0;6.0;6.0;3.0;106.0;0.1254849932840068;2
46232;Sinarcas;1176.0;13739.0;56.0;0.0;10.0;11.0;3.0;14.0;17.0;9.0;8.0;3.0;35.0;0.11318606976798354;2
46233;Sollana;5089.0;13857.0;244.0;10.0;35.0;53.0;8.0;62.0;76.0;7.0;41.0;12.0;164.0;0.11456411554378321;2
46234;Sot;427.0;13157.0;25.0;3.0;7.0;3.0;3.0;7.0;6.0;3.0;0.0;3.0;21.0;0.12060752008647593;2
